['commit_id', 'rule', 'counter']
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_argument_expr_name <= 2.8300000429153442', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_argument_expr_name > 1.4850000143051147', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'comment <= 0.6050000190734863', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_call_name_operator <= 0.3400000035762787', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_name_name <= 2.1299999952316284', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_name <= 1.3799999952316284', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_name > 2.009999990463257', 2]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_name <= 0.24000000208616257', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'macro_name <= 0.05000000074505806', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_name <= 0.9699999988079071', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_type_modifier <= 0.2199999988079071', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_literal <= 4.954999923706055', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_argument_list <= 0.5499999821186066', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'function_decl_parameter_decl_name <= 1.4800000190734863', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_operator > 1.0149999856948853', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_name > 0.5200000107288361', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_type_name > 0.6850000023841858', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_block_expr_call_name_name <= 1.149999976158142', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_type_modifier > 0.24000000208616257', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_operator > 0.4649999886751175', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_operator > 2.9200000762939453', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'include_file <= 0.8149999976158142', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_operator <= 2.509999990463257', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_argument_expr_operator <= 0.29500000178813934', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'endif_directive <= 0.9850000143051147', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_name_name > 1.1299999952316284', 1]
