TokenPattern	PatternLength
decl_stmt-decl-init-expr-call-argument_list-argument-expr-call-argument_list-argument-expr-call-name	100
function-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-block-expr-call-name-name	100
class-block-function-block-block_content-while-block-block_content-if_stmt-if-condition-expr-literal	100
function-block-block_content-function-block-block_content-try-block-block_content-expr_stmt-operator	100
function-block-block_content-try-block-block_content-for-control-init-decl-range-expr-call-name-name	100
function-block-block_content-function-block-block_content-class-block-class-block-function-type-name	100
class-block-expr_stmt-expr-call-argument_list-if_stmt-if-block-block_content-expr_stmt-expr-operator	100
class-block-function-block-block_content-while-block-block_content-expr_stmt-expr-call-name-operator	100
interface-block-class-block-try-block-block_content-function-block-block_content-class-block-comment	100
for-block-block_content-class-block-class-block-function-block-block_content-expr_stmt-expr-operator	100
function-block-block_content-function-block-block_content-class-block-constructor_decl-name-operator	100
class-block-static-block-block_content-decl_stmt-decl-type-name-argument_list-argument-name-operator	100
class-block-function-block-block_content-try-catch-block-block_content-throw-expr-call-name-operator	100
function-block-block_content-constructor-block-block_content-function-throws-argument-expr-name-name	100
function-block-block_content-constructor-block-block_content-if_stmt-if-condition-expr-name-operator	100
class-block-function-block-block_content-while-block-block_content-expr_stmt-expr-call-argument_list	100
expr_stmt-expr-block-expr-throws-argument-expr-block-expr-call-argument_list-argument-expr-call-name	100
switch-block-block_content-block-block_content-try-block-block_content-expr_stmt-expr-call-name-name	100
class-block-function-block-block_content-function-block-block_content-class-block-expr_stmt-operator	100
class-block-if_stmt-if-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-name-name	100
finally-block-block_content-function-block-block_content-function-parameter_list-parameter-decl-name	100
expr_stmt-expr-call-argument_list-argument-expr-class-block-expr_stmt-expr-block-expr-call-name-name	100
class-block-if_stmt-if-block-block_content-function-block-block_content-expr_stmt-expr-name-operator	100
if_stmt-if-block-block_content-function-block-block_content-if_stmt-if-condition-expr-call-name-name	100
expr_stmt-expr-block-for-block-block_content-for-control-for-block-block_content-decl_stmt-decl-type	100
expr_stmt-expr-block-expr-block-expr-call-argument_list-argument-expr-class-block-expr_stmt-operator	100
constructor-block-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-call-name-name	100
class-block-function-block-block_content-if_stmt-if-block-block_content-while-condition-expr-literal	100
if_stmt-else-block-block_content-if_stmt-if-block-block_content-function-block-block_content-comment	100
if_stmt-if-block-block_content-expr_stmt-expr-block-try-block-block_content-expr_stmt-expr-name-name	100
if_stmt-if-block-block_content-expr_stmt-expr-block-try-catch-block-block_content-expr_stmt-operator	100
expr_stmt-expr-block-expr-block-expr-block-expr-block-expr-throws-argument-expr-block-expr-name-name	100
class-block-expr_stmt-expr-block-expr-block-expr-block-expr-call-argument_list-argument-expr-literal	100
switch-block-block_content-block-block_content-try-catch-block-block_content-expr_stmt-expr-operator	100
class-block-expr_stmt-expr-block-expr-block-expr-block-expr-block-expr-block-expr-call-name-operator	100
expr_stmt-expr-block-expr-block-if_stmt-if-condition-expr-call-argument_list-argument-expr-name-name	100
expr_stmt-expr-block-if_stmt-if-block-block_content-for-block-block_content-decl_stmt-decl-type-name	100
for-expr_stmt-expr-block-for-block-block_content-expr_stmt-expr-block-expr-block-block-expr-operator	100
if_stmt-else-block-block_content-if_stmt-if-block-block_content-class-block-decl_stmt-decl-type-name	100
function-block-block_content-class-block-function-block-block_content-for-control-incr-expr-operator	100
finally-block-block_content-finally-block-block_content-expr_stmt-expr-block-expr-call-argument_list	100
class-block-function-block-block_content-try-block-block_content-while-condition-expr-call-name-name	100
function-block-block_content-expr_stmt-expr-block-if_stmt-if-block-block_content-expr_stmt-expr-name	100
